Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;Petrol;medium;Euro 6 a/b/c;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 a/b/c;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d-temp;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d-temp;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d-temp;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;medium;Euro 6 d;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;Petrol;large;PRE ECE;0.00023;-0.02225;0.70293;16.61332;0.00005;-0.00466;0.25567;;;;;;;
passengerCar;Petrol;large;ECE 15/00-01;0.00015;-0.01361;0.50998;13.8232;0.00003;-0.00183;0.20614;;;;;;;
passengerCar;Petrol;large;ECE 15/02;0.00114;-0.06754;10.01081;1.20036;-0.00027;0.07133;0.3366;;;;;;;
passengerCar;Petrol;large;ECE 15/03;0.00114;-0.06754;10.01081;1.20036;-0.00027;0.07133;0.3366;;;;;;;
passengerCar;Petrol;large;ECE 15/04;0.00024;-0.02316;0.75699;16.48208;0.00005;-0.00517;0.32829;;;;;;;
passengerCar;Petrol;large;Euro 1;0;-0.00056;3.03219;0;-0.00013;0.0209;0.30111;;;;;;;
passengerCar;Petrol;large;Euro 2;0;0.04241;3.42206;0;-0.00018;0.04414;0.05079;;;;;;;
passengerCar;Petrol;large;Euro 3;0;0.00542;2.73459;0;-0.00012;0.02225;0.24669;;;;;;;
passengerCar;Petrol;large;Euro 3;0;0.00542;2.73459;0;-0.00012;0.02225;0.24669;;;;;;;
passengerCar;Petrol;large;Euro 4;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 4;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 5;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 5;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 a/b/c;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 a/b/c;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
