Type;Fuel;Segment;Euro Standart;Road Slope;Load;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.00;0.5;0.0000695238434341302;0.0179115217491754;1.3356682913761;6.2125130641769;-0.0000379280119247338;0.0102574560972287;0.104412651437855;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.00;1.00;0.001732135165346;-0.121962894091938;4.72262556814667;8.99648074974827;0.000182993387325246;-0.00633869199079869;0.499031312047116;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.04;0.00;0.00161576108067456;-0.11302161020136;5.20993842765941;3.55508653406774;0.0000699368680640569;-0.00135208914401702;0.380938372468134;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.04;0.5;0.000144273746771151;0.0302853827994002;1.45927537098016;4.10678369846124;-0.0000330826861371821;0.00756231056222996;0.0796948379558293;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.04;1.00;0.000177433220071885;0.0767434493226614;3.31321914612534;7.43947781568451;-0.0000527510902386207;0.0140105632705916;0.179615738884366;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;-0.04;0.00;0.0015255276318454;-0.142085920137227;4.21761182170362;11.7388905136077;0.000336394033629753;-0.0112128481786509;0.975181976523949;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;-0.04;0.5;0.000261682677427639;-0.00894719496348339;0.0383348538268369;13.4014353724266;0.000469878998173416;-0.0198432252447575;0.430393074215042;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;-0.04;1.00;-0.0000402306601818636;0.0146451352101315;3.86472926950442;-16.2143882214229;0.0014899013118446;0.0218904432075992;0.16253217707639;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.00;0.00;0.000451772429792194;0.0453066147811107;4.04189303992807;35.2649141296603;-0.000178634622309555;0.039105112996854;0.696127408384181;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.00;0.5;0.00426882092366924;-0.304892007915999;11.7391789702941;19.3713920948728;0.000493930087721979;-0.0179148557761598;1.62718104399985;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.00;1.00;0.00219614861999307;-0.155146126813989;6.11461297693933;9.86737208946455;0.00024748325540724;-0.00874930769133041;0.79126691836508;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.04;0.00;0.00028427401738215;0.0394807445464788;2.30337793354354;8.53177936492099;-0.000058515527790512;0.0136900724222342;0.220911048480211;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.04;0.5;0.000213424985800211;0.0512764737471835;2.35215745330271;5.84585270333632;-0.0000479257614784422;0.0124586223624398;0.18292047885352;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro I;0.04;1.00;0.000100984151533173;0.0751867391070493;2.8134189832656;4.69779894563009;-0.0000452692582249982;0.0133092038615652;0.189433789334536;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;-0.04;0.00;0.00117590382972566;-0.105763745642506;3.11050218675837;10.8495063644885;0.000350558361671957;-0.0128036074105763;0.883663023611688;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;-0.04;0.5;-0.0000923052062293393;0.0662897009152472;5.62178044161773;-18.2287357610093;0.00244352715934137;0.0654225940347985;0.149614267323743;;;;;;
